title_year,budget,gross
1996,19300000,2944999
1997,153000000,64015902
1998,205000000,39112129
1999,428800000,34972075
2000,237000000,91435628
2001,424300000,109334587
2002,233100000,77999542
2003,31700000,23288724
2004,124354500,30078998
2005,295000000,247069444
2006,229400000,58936557
2007,93600000,102464553
2008,195000000,171299282
2009,161900000,30241337
2010,242900000,128006230
2011,129400000,118603570
2012,151500000,172701113
2013,79500000,15293570
2014,193700000,236423738
2015,106700000,17367018
2016,17000000,80175957
