title_year,gross,budget
1996,3994196554,5267755000
1997,5196077602,7889733000
1998,4950634027,8089608000
1999,6319981262,8631560400
2000,7042828806,8146652000
2001,8132074782,7711151350
2002,8702230297,8958965000
2003,7747711729,8007805000
2004,8145305822,8403150000
2005,8355306088,6461617000
2006,8475376886,20004130000
2007,8281882683,14275759250
2008,8959275385,9234992600
2009,9934599643,5804549218
2010,9931756876,6584899000
2011,8745094799,6859140000
2012,11380108510,5764177000
2013,10501612904,6393062000
2014,10422826870,4976580000
2015,9513928206,6417845000
2016,5692378656,3098790000
