title_year,budget,gross
1996,19300000,2944999
1997,24010000,2392787
1998,4780000,1447432
1999,10000000,10037390
2000,16000000,4737811
2001,19000000,10049886
2002,307500000,402289022
2003,93600000,102464553
2004,214000000,5120843
2005,319800000,470356808
2006,50419670,6214242
2007,168000000,6498000
2008,61000000,41958312
2009,48699300,69617000
2010,12000000,14939000
2011,727500000,749743109
2012,428800000,34972075
2013,35500000,22770
2014,233100000,77999542
2015,35000000,110008260
2016,75000000,323505540
