title_year,budget,gross
1996,93500000,52730617
1997,274000000,332486499
1998,187460000,148743719
1999,389350000,407073247
2000,245000000,375173796
2001,319800000,470356808
2002,727500000,749743109
2003,109500000,155234196
2004,471095000,435178914
2005,706864000,712425167
2006,671300000,590064337
2007,530300000,548451810
2008,536400000,493144047
2009,467200000,389131774
2010,432700000,372398561
2011,336520000,305853550
2012,587000000,767582340
2013,307500000,402289022
2014,601640000,523992853
2015,510000000,439029377
2016,843500000,1099051119
