title_year,country,Code,count_col,budget,gross
1916,United States of America,USA,1,385907,0
1920,United States of America,USA,1,100000,3000000
1925,United States of America,USA,1,245000,0
1927,Germany,DEU,1,6000000,26435
1929,Germany,DEU,1,0,9950
1929,United States of America,USA,1,379000,2808000
1930,United States of America,USA,1,3950000,0
1932,United States of America,USA,1,800000,0
1933,United States of America,USA,2,639000,2300000
1934,United States of America,USA,1,325000,0
1935,United States of America,USA,1,609000,3000000
1936,United States of America,USA,2,2700000,163245
1937,United States of America,USA,2,2000000,184925485
1938,United States of America,USA,2,3644736,0
1939,United States of America,USA,3,8280000,220857890
1940,United States of America,USA,5,7782000,160700000
1941,United States of America,USA,1,1250000,0
1942,United States of America,USA,2,950000,102797150
1943,United States of America,USA,1,2627000,0
1944,United States of America,USA,1,2361000,0
1945,United States of America,USA,4,5106377,0
1946,United States of America,USA,3,13280000,44050000
1947,United States of America,USA,3,7509000,7927
1948,United States of America,USA,3,6700000,2956000
1949,United States of America,USA,2,2600000,0
1950,United States of America,USA,1,3770000,8000000
1951,United States of America,USA,3,11718429,0
1952,United States of America,USA,4,7290800,36000000
1953,United States of America,USA,4,8110000,41000000
1954,Japan,JPN,1,2000000,269061
1954,United States of America,USA,4,15910000,9600000
1955,Denmark,DNK,1,0,0
1955,United States of America,USA,1,1200000,0
1956,United States of America,USA,3,9500000,0
1957,United Kingdom,GBR,1,3000000,27200000
1957,United States of America,USA,1,350000,0
1958,United States of America,USA,1,3000000,0
1959,United States of America,USA,3,11380000,25000000
1960,United States of America,USA,3,6807000,32000000
1961,United States of America,USA,5,17900000,43650000
1962,United Kingdom,GBR,4,20100000,22067035
1962,United States of America,USA,4,15262000,0
1963,United Kingdom,GBR,3,34100000,82550000
1963,United States of America,USA,5,27586585,46300000
1964,France,FRA,2,6820000,0
1964,Italy,ITA,1,200000,3500000
1964,United Kingdom,GBR,2,3560000,51615005
1964,United States of America,USA,5,43960000,174312438
1965,France,FRA,1,300000,0
1965,United Kingdom,GBR,2,9000000,63600000
1965,United States of America,USA,5,43150000,282951159
1966,Italy,ITA,1,1200000,6100000
1966,United Kingdom,GBR,1,2000000,0
1966,United States of America,USA,4,12877800,0
1967,United Kingdom,GBR,1,9500000,43100000
1967,United States of America,USA,2,6500000,0
1967,West Germany,#N/A,1,0,0
1968,France,FRA,1,9000000,0
1968,Italy,ITA,1,5000000,0
1968,United Kingdom,GBR,3,23455000,73515371
1968,United States of America,USA,6,6828000,0
1969,France,FRA,1,1600000,26893
1969,Italy,ITA,1,0,0
1969,United Kingdom,GBR,1,7000000,22800000
1969,United States of America,USA,7,59944087,102308900
1970,Italy,ITA,2,25750000,0
